"the_geom","NAME","URL","SHAPE_LEN"
"MULTILINESTRING ((-73.80299533440522 40.665193413204335, -73.80266385637762 40.66593709362183))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80266385637762 40.66593709362183, -73.80247129181305 40.666292267882525))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80247129181305 40.666292267882525, -73.80244710822541 40.66633943691768))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80244710822541 40.66633943691768, -73.80242065437774 40.666398843691546))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80242065437774 40.666398843691546, -73.80218172940586 40.66677869486238))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80218172940586 40.66677869486238, -73.80175542191019 40.6674770025447))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80175542191019 40.6674770025447, -73.80158744284168 40.667779956981484))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80158744284168 40.667779956981484, -73.80136002496982 40.66839565928423))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80136002496982 40.66839565928423, -73.80123038484618 40.668980815216955))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80123038484618 40.668980815216955, -73.80120591280391 40.66910033558745))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80120591280391 40.66910033558745, -73.80115999118334 40.66980042322962))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80115999118334 40.66980042322962, -73.80113234663895 40.67054868586875))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80113234663895 40.67054868586875, -73.80113430381901 40.671294474556255))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80113430381901 40.671294474556255, -73.80113696076215 40.6713585419714))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80114237962266 40.67148796832374, -73.80115536654851 40.67179913850264))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80115536654851 40.67179913850264, -73.8011593382905 40.67189389602274))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80168193190397 40.67438387676329, -73.80202520221222 40.67511427772127))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80202520221222 40.67511427772127, -73.80238904432996 40.67588849245096))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80238904432996 40.67588849245096, -73.80267767208714 40.67649797237269))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80267767208714 40.67649797237269, -73.80296634178686 40.6771074515881))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80296634178686 40.6771074515881, -73.80323028207582 40.67768106877733))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80113696076215 40.6713585419714, -73.80114237962266 40.67148796832374))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.81063310607196 40.691948192932294, -73.81102158186596 40.69262289314613))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.81102158186596 40.69262289314613, -73.8113979149031 40.693322330837205))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.8113979149031 40.693322330837205, -73.81169455432038 40.693857937661875))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.81169455432038 40.693857937661875, -73.8117698989411 40.693993926996995))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80323028207582 40.67768106877733, -73.80410224700154 40.6794245586153))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80437255635474 40.680008888274166, -73.80464518055166 40.6805799088427))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80464518055166 40.6805799088427, -73.80492974063084 40.681176997291885))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80492974063084 40.681176997291885, -73.80522681672454 40.681798176974354))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80522681672454 40.681798176974354, -73.80551809078185 40.68240823095417))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80551809078185 40.68240823095417, -73.80576840859305 40.68293241202885))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80576840859305 40.68293241202885, -73.80606203795455 40.68355438053325))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80606203795455 40.68355438053325, -73.80660609551451 40.684681149328895))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80660609551451 40.684681149328895, -73.80709061526392 40.68563033829555))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80709061526392 40.68563033829555, -73.8072592790418 40.685983050419544))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.8072592790418 40.685983050419544, -73.80787469671269 40.68709834897775))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80787469671269 40.68709834897775, -73.80807343501054 40.68745283992893))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80807343501054 40.68745283992893, -73.80861232044624 40.688394784356355))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80900113567716 40.68907498186608, -73.80954788514329 40.69003757544224))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80954788514329 40.69003757544224, -73.80972326081304 40.69034635058188))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80972326081304 40.69034635058188, -73.80995600992914 40.69075611843327))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.80995600992914 40.69075611843327, -73.81024426875346 40.6912636093875))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.81024426875346 40.6912636093875, -73.81063310607196 40.691948192932294))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.8117698989411 40.693993926996995, -73.81202952457107 40.694447651585655))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.81209134294431 40.694559628891255, -73.81224188957657 40.69483223888906))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.81224188957657 40.69483223888906, -73.81245207468079 40.695198130241856))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.81245207468079 40.695198130241856, -73.81299801351709 40.696112068406194))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
"MULTILINESTRING ((-73.81299801351709 40.696112068406194, -73.81309514304701 40.69639062836684))","JFK AirTrain","http://www.panynj.gov/Airtrain/","0"
